date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-05,17.2,16,19,21.4,,153,10.5,,1014.3,
2023-01-06,16.5,15,18.2,1.9,,125,13.6,,1018,
2023-01-07,16.8,15,18.2,0.6,,133,13.4,,1019.4,
2023-01-08,18.7,15.8,22,0,,129,12.5,,1018.4,
2023-01-09,19.3,17.5,22,7,,126,11.5,,1016.9,
2023-01-10,20.8,18.6,25,10.5,,55,6.8,,1015.9,
2023-01-11,21.7,19,26,7.6,,354,7.1,,1015.3,
2023-01-12,22.9,19.5,27.2,12.1,,323,10,,1012.8,
2023-01-13,23.4,19,28,4.9,,337,12.5,,1012.6,
2023-01-14,23.9,20.6,28,0,,343,11.4,,1014.1,
2023-01-15,24.8,20.5,31.2,7.9,,353,8.2,,1015.6,
2023-01-16,24.3,19,31,15.7,,63,8.1,,1015.3,
2023-01-17,24.7,21.1,30.2,4.4,,120,9.3,,1015.6,
2023-01-18,23.2,20.6,30,4.2,,125,10.4,,1017.5,
2023-01-19,22.8,18.2,30,1.4,,118,10,,1016.7,
2023-01-20,20.9,19,24.6,17.1,,46,5.9,,1013.8,
2023-01-21,22.6,17.5,29,1.6,,2,10.7,,1011.1,
2023-01-22,24.3,19.3,29.6,2.8,,307,11.9,,1010.1,
2023-01-23,23,21,27.5,15.9,,330,9.3,,1011.1,
2023-01-24,22.8,19.8,29,3.4,,290,8.3,,1011.3,
2023-01-25,23.3,18.2,29,0.1,,114,11.5,,1012.7,
2023-01-26,23,18.5,30,0,,108,14.2,,1013.7,
2023-01-27,22.6,18.1,29,0.4,,111,12.8,,1014.5,
2023-01-28,22.9,20,29,14.5,,43,8,,1015.7,
2023-01-29,22.9,20,29,23.1,,17,9.3,,1014.1,
2023-01-30,23.2,19.7,28,9.6,,338,11.4,,1013.2,
2023-01-31,23.4,20,29,16.5,,334,11.3,,1013.8,
2023-02-01,23.3,20.2,27,10.9,,312,10.3,,1014.7,
2023-02-02,24.3,20,30,9.3,,339,10.9,,1014.9,
2023-02-03,23.3,20,27,0.8,,326,13.2,,1010.8,
2023-02-04,23.3,21,27,2.3,,317,14.4,,1014.2,
2023-02-05,23.5,20.7,27.7,9.5,,299,11.5,,1014.4,
2023-02-06,22.4,19,27,18.9,,328,8.9,,1014.7,
2023-02-07,21.5,19,26,24.7,,37,7.2,,1015.3,
2023-02-08,21.9,19.1,26.1,3.7,,114,11.5,,1015,
2023-02-09,22.7,18.5,29,2,,104,8.8,,1015.1,
2023-02-10,23.1,19.2,29,16.9,,69,9.9,,1014.9,
2023-02-11,21.3,19.7,25,15,,40,6.8,,1015.5,
2023-02-12,21.8,19,27,12.2,,351,7.5,,1014.3,
2023-02-13,22.9,19.2,28,1,,338,9.3,,1014.5,
2023-02-14,24.1,19,29,4.6,,317,10.8,,1013.3,
2023-02-15,24,21,30.5,10.2,,333,10.6,,1010.6,
2023-02-16,23.2,19,28.7,0.9,,329,13.1,,1008.8,
2023-02-17,24.2,20.2,28,2.9,,319,12.6,,1010,
2023-02-18,21.8,19,26,12.7,,214,9.4,,1014.9,
2023-02-19,18.7,17.8,20,19.1,,162,10.2,,1018.2,
2023-02-20,22.4,18.7,30,21.5,,116,8.8,,1016.5,
2023-02-21,22.3,19,28.7,16,,9,9.3,,1016.5,
2023-02-22,21.9,18.7,27,10.5,,123,8.1,,1018.7,
2023-02-23,22,19.2,28,7.8,,96,9.3,,1018.6,
2023-02-24,23.7,19.2,28,3.8,,17,8.7,,1015.1,
2023-02-25,24.1,19.2,28.2,1.2,,335,10,,1014.1,
2023-02-26,25,19.7,29,3.5,,331,9.5,,1016.4,
2023-02-27,22.8,21,27,1.8,,154,10.9,,1019.5,
2023-02-28,21.5,18,27,8.5,,144,10,,1020,
2023-03-01,22.4,18,29.1,9,,116,9.1,,1018,
2023-03-02,23.8,19,30,0,,100,10.3,,1015.9,
2023-03-03,24.4,20.9,31,13,,65,8.1,,1015.2,
2023-03-04,23.6,21,27.1,12,,345,8.5,,1015.6,
2023-03-05,23.4,20,28,3.2,,324,10.1,,1012.9,
2023-03-06,23.5,19.1,29,16,,347,9.1,,1012.1,
2023-03-07,23.4,20,28,2.3,,7,9.2,,1014.2,
2023-03-08,23.2,17.2,30.2,11,,10,6.7,,1015,
2023-03-09,22.7,19.1,30,12.4,,29,6.9,,1016.2,
2023-03-10,21.6,19,27.7,14.9,,90,6.9,,1016.4,
2023-03-11,21.2,19,26,21.4,,63,6.3,,1015.8,
2023-03-12,21,19.6,24,9.9,,82,8.7,,1016.5,
2023-03-13,21.5,19,27,18.5,,90,8.9,,1017.2,
2023-03-14,21.9,19.9,26,8.8,,95,9.7,,1017.7,
2023-03-15,22.1,18.6,27,2,,108,12.6,,1015.5,
2023-03-16,22.4,19.4,28,0.1,,101,12.7,,1015.1,
2023-03-17,21.8,17.7,27,0,,114,12.1,,1017.3,
2023-03-18,22.2,17.7,29,0,,107,10,,1017.3,
2023-03-19,23.4,19.9,31.1,0,,102,8.9,,1016.6,
2023-03-20,24.1,19.7,31,3.9,,25,7.5,,1015.4,
2023-03-21,23.1,18.5,29,0.4,,90,7.9,,1017.3,
2023-03-22,22.9,18.7,29,0,,128,9.9,,1019,
2023-03-23,23.1,18.5,29,0,,113,10.9,,1018.8,
2023-03-24,24.4,19,30.2,0.5,,109,9.4,,1017.1,
2023-03-25,23.7,17.7,31,0,,128,7.3,,1016.7,
2023-03-26,24.9,19.5,30.7,8.6,,321,10.8,,1016,
2023-03-27,21.1,19,24.3,6.2,,150,12.5,,1017.4,
2023-03-28,21,18.8,25,0.2,,116,12.4,,1017.4,
2023-03-29,22.2,19,29,21.1,,79,8.3,,1016.8,
2023-03-30,24,19.2,29.5,0.7,,22,9.3,,1016.6,
2023-03-31,22.3,19,29,4.4,,52,7.6,,1015.8,
2023-04-01,22.6,16,29,0.2,,209,9.7,,1014.7,
2023-04-02,19.2,17,22,0.1,,136,12.5,,1017.5,
2023-04-03,20.1,15.1,26,0,,121,11.1,,1017.1,
2023-04-04,21.8,18.1,28.5,0.2,,109,8.5,,1015.8,
2023-04-05,21.1,18.1,27,0,,120,9.9,,1016.2,
2023-04-06,21,18.1,25,0.9,,119,12.4,,1016.4,
2023-04-07,19.9,18.2,22,17.3,,108,8.1,,1015.8,
2023-04-08,19.8,18.3,21.5,2.9,,128,10.7,,1017.3,
2023-04-09,19.4,17.7,22,0.2,,114,14,,1019.4,
2023-04-10,19.3,15.2,25,0,,118,14,,1020.4,
2023-04-11,20.2,15.8,27,0,,107,9.2,,1018.4,
2023-04-12,22.1,17.2,28,1.8,,61,9.2,,1015.9,
2023-04-13,22.9,17.2,28.5,2,,31,8,,1013.5,
2023-04-14,21.1,18.2,25,22.8,,326,8.3,,1013.8,
2023-04-15,19.6,18,22,1.2,,172,10.5,,1016.7,
2023-04-16,21.2,17.6,27.1,0.1,,112,9.2,,1015.8,
2023-04-17,22.3,19,28,0.2,,358,10.1,,1010.4,
2023-04-18,21.7,19.7,25,12.4,,307,12.5,,1006.4,
2023-04-19,20.3,16,23.7,27.3,,287,13.2,,1009.8,
2023-04-20,17,13.7,21,0,,221,11.7,,1016.5,
2023-04-21,16.2,12,22.1,0,,119,13.4,,1019.7,
2023-04-22,17.9,14,24,0,,104,12.6,,1020.3,
2023-04-23,19.2,15.4,25,0.3,,108,12.1,,1020.9,
2023-04-24,18.9,15.5,25,0,,104,12.6,,1021.4,
2023-04-25,19.2,14.7,26,0,,101,8.5,,1020.3,
2023-04-26,19.3,17,23.6,5.4,,19,7.6,,1017.5,
2023-04-27,19.9,17.2,24.2,3.4,,317,9.8,,1015.4,
2023-04-28,17.2,16,18.1,1.4,,138,8.3,,1018.3,
2023-04-29,18.7,15.9,23,0.6,,113,12.4,,1019,
2023-04-30,20.5,17.2,25,0,,105,10.1,,1018.3,
2023-05-01,20.9,17.5,26,0.1,,118,8.6,,1017.2,
2023-05-02,20.5,17.1,25,0.9,,101,8.9,,1016.2,
2023-05-03,21,17.4,27,0,,93,7,,1016.6,
2023-05-04,22,17.9,27.2,0,,70,6.7,,1017.8,
2023-05-05,22,16.2,28,0,,116,7,,1019.7,
2023-05-06,21,18.5,25.5,0,,106,9.8,,1019.9,
2023-05-07,21.3,18,27,0,,96,8.1,,1018.5,
2023-05-08,22.1,18,27.2,0,,49,7,,1018.4,
2023-05-09,21.4,16,26.2,0,,134,6.9,,1018.6,
2023-05-10,18.9,17,21.2,1.9,,140,8.2,,1017.9,
2023-05-11,18.9,16,24,0,,163,8.9,,1016.4,
2023-05-12,15.9,14,19.2,0.4,,160,10.8,,1018.6,
2023-05-13,15.3,12.8,20,0.1,,130,9.5,,1020.1,
2023-05-14,16.4,12.8,22.5,0,,117,6.9,,1021.3,
2023-05-15,16.1,9,22,0,,156,5.3,,1021.3,
2023-05-16,16,8,23,0,,175,7.3,,1020.9,
2023-05-17,15.7,12.9,20,0.1,,139,11.3,,1021.1,
2023-05-18,15.7,11.7,21,0,,121,10.9,,1022.3,
2023-05-19,16,12.1,22.6,0,,105,10.4,,1021.5,
2023-05-20,16.3,12,23,0,,86,7.6,,1020.1,
2023-05-21,17.1,10,23.2,0,,66,4.8,,1018.8,
2023-05-22,18,11,24,0,,52,5.5,,1020.1,
2023-05-23,18.4,11.7,24,0,,87,7.2,,1021.4,
2023-05-24,18.6,13.7,24,0,,93,10.2,,1021.1,
2023-05-25,19.4,16,25,0,,89,8.9,,1021.6,
2023-05-26,20.3,15,26.1,0,,64,8.4,,1020.7,
2023-05-27,20.1,15.7,26.1,0,,16,7.4,,1019.7,
2023-05-28,18.4,16,22,2.2,,201,7.1,,1018.9,
2023-05-29,16.3,14.9,18,0.2,,143,14.4,,1021.1,
2023-05-30,16.2,14.5,19,0.1,,113,15.2,,1022.6,
2023-05-31,15.8,15,17,18.4,,122,7.6,,1020.9,
2023-06-01,16.6,14,19,1.4,,146,5.9,,1022,
2023-06-02,16.8,13.9,20,0,,97,10.4,,1021.9,
2023-06-03,17.4,13.7,23.5,0,,79,8,,1021.5,
2023-06-04,17.4,10.1,24,0,,9,4.7,,1022.4,
2023-06-05,16.8,9.5,24.2,0,,94,5.4,,1022.3,
2023-06-06,16.2,10,22,0,,119,8,,1022.1,
2023-06-07,16.4,11,23.5,0,,67,7,,1022.7,
2023-06-08,17,11,23.1,0,,48,4.7,,1022.1,
2023-06-09,18.3,10.7,25,0,,14,7.6,,1020.3,
2023-06-10,18.5,10,25.2,0,,335,6.4,,1019.1,
2023-06-11,19.5,11,27,0,,338,7.5,,1017.4,
2023-06-12,19.3,16,26.5,0,,140,8.5,,1018.7,
2023-06-13,16.5,15.8,17.6,0.5,,163,11.1,,1022.2,
2023-06-14,15.8,15,17,24.8,,218,7.1,,1021.6,
2023-06-15,16.5,15.5,18,12.5,,324,6.7,,1019.7,
2023-06-16,14.2,12,16,0.3,,306,13.3,,1019.7,
2023-06-17,13.4,8,18,0,,264,7.9,,1022.2,
2023-06-18,13.7,10,18.5,0,,105,8.5,,1023.7,
2023-06-19,14.5,11.7,19.5,0,,111,12.4,,1025.4,
2023-06-20,15.8,12.1,22,0,,90,10,,1023.9,
2023-06-21,16.3,11,23.2,0,,51,6.1,,1021.4,
2023-06-22,17.4,10,24,0,,28,6.1,,1020.5,
2023-06-23,17.8,11.5,24,0,,24,5.7,,1019.2,
2023-06-24,18.3,11,25,0,,355,4.7,,1019.6,
2023-06-25,18.8,11,26,0,,345,4,,1020.7,
2023-06-26,18.5,11,26,0,,22,4.6,,1021.1,
2023-06-27,18.4,10,25.5,0,,353,5.8,,1020.7,
2023-06-28,18.8,10.6,25.1,0,,321,7.8,,1021,
2023-06-29,17.4,12.7,22,0,,147,9.6,,1023.7,
2023-06-30,16.9,14.5,21,0,,119,10.4,,1024.4,
2023-07-01,17,14,23,0.2,,124,7.9,,1021.9,
2023-07-02,16.3,13.9,20,0,,145,8.3,,1021.1,
2023-07-03,14.6,12,18.1,0,,122,11.3,,1023.4,
2023-07-04,14.9,10.6,21,0,,104,10.5,,1022.8,
2023-07-05,15.2,10,23,0,,41,7.7,,1022.6,
2023-07-06,16.6,8.5,23.1,0,,25,5.8,,1019.5,
2023-07-07,16.7,9,23.5,0,,0,6.1,,1018.6,
2023-07-08,19,10,26,0,,326,9.6,,1016.2,
2023-07-09,17.3,16,19,10.7,,243,5.5,,1019,
2023-07-10,18.4,15.4,23,0,,46,6.2,,1018.5,
2023-07-11,20.2,16,27,0,,99,7.7,,1017.1,
2023-07-12,21.9,16.9,28.1,0,,32,10.1,,1013,
2023-07-13,21.1,18,25,0,,304,19.1,,1010.3,
2023-07-14,13.5,10,16,0,,197,12.5,,1019,
2023-07-15,13.6,9.6,20,0,,107,9.2,,1020.8,
2023-07-16,15.8,7.2,24,0,,34,6.3,,1019.3,
2023-07-17,17.9,13,26,0,,128,7.5,,1020.2,
2023-07-18,15.9,14.7,18,0.5,,150,10.5,,1024.1,
2023-07-19,15.1,13.9,17,0.7,,137,15,,1028.8,
2023-07-20,16.5,13.8,21,0,,106,15.5,,1028.7,
2023-07-21,17.3,14,23.5,0,,98,10.7,,1027.1,
2023-07-22,16.8,14,22,0,,86,9,,1025.3,
2023-07-23,18.2,12,25.2,0,,91,7,,1025.8,
2023-07-24,19,12,25,0,,78,5.7,,1024,
2023-07-25,18.9,11,25.7,0,,45,3.8,,1021,
2023-07-26,19.2,12.1,26.6,0,,9,4.9,,1019.9,
2023-07-27,18.9,13,26,0.5,,111,8.5,,1021.8,
2023-07-28,19.8,15.9,26,1,,149,10.2,,1022.4,
2023-07-29,14.6,13,16.8,0,,147,14.4,,1024.6,
2023-07-30,15.2,12.4,19,0,,117,12.4,,1025,
2023-07-31,17.7,13.3,25,0,,97,8.8,,1024,
2023-08-01,18,14,24.2,0,,99,9.4,,1023.7,
2023-08-02,19.2,14,28.1,0,,40,5.4,,1022.1,
2023-08-03,19.7,11,28,0,,29,6.3,,1020.8,
2023-08-04,17.5,11,24.6,0,,132,5.2,,1020.6,
2023-08-05,18.9,10,27.1,0,,124,6.8,,1021.4,
2023-08-06,19.9,12,29.1,0,,100,5.9,,1020.9,
2023-08-07,21.8,12,30,0,,348,10.3,,1020.7,
2023-08-08,17.2,16,18.5,0.6,,139,15.3,,1024.7,
2023-08-09,18,15.2,24,1.7,,114,14.4,,1022.5,
2023-08-10,19.8,15.5,25.2,0,,86,11.6,,1019,
2023-08-11,21,15,30,0,,73,11.5,,1018.6,
2023-08-12,18.8,13,25,0.5,,94,10.5,,1019.4,
2023-08-13,15.7,13,17.1,0,,142,14.7,,1022.5,
2023-08-14,15.4,13.6,17,1.7,,125,11.4,,1022.3,
2023-08-15,18.5,15.5,24.5,0,,111,11.6,,1021.5,
2023-08-16,20.6,16.7,26.2,0,,88,9.8,,1021.6,
2023-08-17,21.3,16,27,0,,32,6.4,,1018.7,
2023-08-18,22.9,14.6,28.5,0,,23,9.2,,1013.4,
2023-08-19,21,17,25,0.6,,302,13.2,,1012.2,
2023-08-20,19.7,15.7,25.5,0,,20,8.8,,1014,
2023-08-21,20.9,16.9,26,0,,339,11.4,,1013.8,
2023-08-22,22.2,13,30,0,,1,7.7,,1013.1,
2023-08-23,25.7,19.4,32,0,,343,12.3,,1010.6,
2023-08-24,23.8,17,32,0.3,,315,12.2,,1010.2,
2023-08-25,17.8,15,21,4.2,,152,12.3,,1013.6,
2023-08-26,13.4,11,15.3,17.8,,153,15,,1017.8,
2023-08-27,11.9,11,13,3.9,,135,14.8,,1021.5,
2023-08-28,13.3,11.7,15.1,0.6,,137,13.5,,1022.5,
2023-08-29,16,13.2,21.2,0.5,,117,10.2,,1021.5,
2023-08-30,17.7,14,25,0,,136,9.3,,1018.7,
2023-08-31,18.2,11,25,0,,123,7.3,,1019.7,
2023-09-01,18.1,9.5,26.2,0,,102,9.4,,1018.9,
2023-09-02,21.3,16.7,29.5,2.2,,63,9.9,,1016.9,
2023-09-03,24.2,17.7,30.6,0.4,,5,9.1,,1016.2,
2023-09-04,26,19.5,31,0,,14,10,,1014.6,
2023-09-05,20.2,16,25,5,,192,11.8,,1020,
2023-09-06,16.7,15.1,19,0.9,,130,18.7,,1024.8,
2023-09-07,18,15,25.1,0,,111,13.7,,1022.8,
2023-09-08,22.1,14.7,29.2,0,,52,9.4,,1018.5,
2023-09-09,21.8,17,27,0,,350,10.6,,1018.4,
2023-09-10,20.2,17.4,25,0,,121,11.1,,1020.5,
2023-09-11,22.4,17.4,30,0,,81,8,,1018.3,
2023-09-12,23.8,17.7,30,0,,42,7.7,,1017.2,
2023-09-13,25.6,15,32,0,,13,10,,1012.8,
2023-09-14,19.2,14,23.8,13,,282,11,,1015.1,
2023-09-15,15.6,13,21,0,,125,13.6,,1020.1,
2023-09-16,20.1,13.6,29,0,,51,8,,1018,
2023-09-17,23.9,15.5,32,0,,36,7,,1017.6,
2023-09-18,25.2,16.6,32,2.4,,62,8.9,,1017.5,
2023-09-19,24.8,20,31,0.2,,109,10.2,,1016.3,
2023-09-20,23,18.5,30,0,,142,9.8,,1017.5,
2023-09-21,21.8,18,30,0.1,,119,9.1,,1016.7,
2023-09-22,24.6,16.5,33,0,,137,9.2,,1014.9,
2023-09-23,25.1,17.7,33,0,,121,7.1,,1014,
2023-09-24,27.5,18,35.1,0,,16,8.2,,1012.5,
2023-09-25,23.3,20,32,0.2,,142,12.5,,1013.6,
2023-09-26,26.3,19.1,35,0.4,,112,9.1,,1010.1,
2023-09-27,25.1,19,33,13.6,,41,12.6,,1009.4,
2023-09-28,15.7,13.5,19.2,1.6,,145,16.2,,1017.8,
2023-09-29,17.2,14.9,22,0,,118,14.1,,1019.7,
2023-09-30,19.7,16.6,27.7,12.7,,104,10.9,,1017,
2023-10-01,19.3,17,22.7,32.6,,120,8.4,,1014.4,
2023-10-02,18,15.7,21,12.6,,121,7.8,,1013.2,
2023-10-03,20.5,16,28,1.8,,127,8.1,,1012.9,
2023-10-04,22.3,18.7,30,0,,21,10.2,,1010.3,
2023-10-05,21.9,18,29.7,7.5,,41,11.2,,1010.5,
2023-10-06,24.7,18,32,0.3,,31,8.3,,1013.5,
2023-10-07,24.1,19,31,0.4,,1,12.3,,1013.4,
2023-10-08,21.7,19.3,26,4.3,,82,8.8,,1014.6,
2023-10-09,20.3,18,24,21.6,,247,11.5,,1016.2,
2023-10-10,18.7,16.6,22,0,,135,14.3,,1018.9,
2023-10-11,23.8,17.8,32,0,,27,9.4,,1015.1,
2023-10-12,22.1,18,26,5.9,,100,7.7,,1011.9,
2023-10-13,16.8,14,18.7,4.8,,148,13.2,,1018.1,
2023-10-14,16.1,14.7,18.2,0.3,,130,15.9,,1021.4,
2023-10-15,19,15.6,26,0,,121,11.4,,1020.9,
2023-10-16,24.1,18.5,31.5,2.9,,82,9.5,,1017,
2023-10-17,21.6,19,25,6.5,,353,10.2,,1016.9,
2023-10-18,19.1,17,21.2,2.8,,142,12.8,,1018.3,
2023-10-19,16.9,15.7,18,0.3,,136,15.1,,1019.6,
2023-10-20,17.7,15.7,21.1,0,,123,13.2,,1019.1,
2023-10-21,18.3,16.1,22,0,,132,13.6,,1019.7,
2023-10-22,19.6,16.5,27,0,,120,12.3,,1018.1,
2023-10-23,22.5,17.2,31,0,,104,8.7,,1015,
2023-10-24,25.5,19.7,33,0,,338,11.2,,1011,
2023-10-25,20.8,18.7,23,20,,134,10.5,,1010.7,
2023-10-26,19.4,18,23.2,15.1,,128,9.5,,1010.4,
2023-10-27,20.7,17.8,27,0.9,,123,10.2,,1012.5,
2023-10-28,23.4,19,28,0,,10,12.3,,1011.3,
2023-10-29,23.6,21,28,2.6,,339,11.1,,1010.9,
2023-10-30,24.8,21,29,0,,324,10.4,,1012.1,
2023-10-31,23,20,27,12.7,,72,7.3,,1011.4,
2023-11-01,19.2,17,22,4.6,,152,10.6,,1013.5,
2023-11-02,18.8,17,21.1,0,,131,11.9,,1014.1,
2023-11-03,22.6,18.1,29.2,2.4,,24,11.1,,1009.8,
2023-11-04,21.7,16,26,3.3,,286,13.2,,1010.7,
2023-11-05,17.7,14,22,0,,148,13.3,,1016.5,
2023-11-06,17.5,13.6,24,0,,128,15.8,,1019.4,
2023-11-07,19,14.7,26.6,0,,113,13.2,,1019.2,
2023-11-08,23.4,15,31.2,0,,91,8.6,,1016.7,
2023-11-09,26,20.5,32,0,,336,10.5,,1014.5,
2023-11-10,23.1,20,31,2.1,,138,10.5,,1015.4,
2023-11-11,26.7,20,34,0,,45,9,,1012.6,
2023-11-12,29.1,21,35,0,,14,9.9,,1010.9,
2023-11-13,29.3,23.9,36,0,,38,9.4,,1010.6,
2023-11-14,26.2,21,36,0,,131,11.8,,1011.3,
2023-11-15,26.2,19,35,0,,85,10.9,,1011.6,
2023-11-16,26.3,21,31,0,,1,10.2,,1009.9,
2023-11-17,28.2,23.9,35,0,,48,9.3,,1008.3,
2023-11-18,28.5,22,33,0.9,,329,13.8,,1008.5,
2023-11-19,21.6,19,24.9,10,,104,10.7,,1014.3,
2023-11-20,20.9,19.2,24,1.9,,129,14.1,,1015.3,
2023-11-21,23.4,19.7,30,3.7,,109,9.9,,1013.1,
2023-11-22,26.2,21.4,31,10,,344,10.9,,1011.3,
2023-11-23,23.6,21,28,10.3,,280,10.9,,1014.2,
2023-11-24,18.2,16,20,13.5,,147,15,,1019.8,
2023-11-25,16.2,15,17.1,0.2,,122,13.4,,1019.9,
2023-11-26,18.5,15.7,22,1,,118,12.1,,1018.1,
2023-11-27,21.2,18.4,27,5.5,,101,9.1,,1018,
2023-11-28,23,19,29,21.9,,51,9.7,,1015.2,
2023-11-29,22.5,20.7,26,11.3,,337,10.1,,1013.2,
2023-11-30,24.2,20,29,1.5,,311,10.7,,1013,
2023-12-01,24.3,21,29,0,,119,9.7,,1014,
2023-12-02,25.8,19,33,0,,122,8.4,,1012.4,
2023-12-03,26.4,21,32,0,,114,8.7,,1010.9,
2023-12-04,24.3,20,33,0.3,,142,11.1,,1014,
2023-12-05,23.3,20.5,27,2,,135,11.9,,1016.9,
2023-12-06,26.2,21.3,32,5.8,,337,9.2,,1015.4,
2023-12-07,27.3,23,33,25.5,,335,11.1,,1013.7,
2023-12-08,23.8,20,29,16.2,,227,12.3,,1015.3,
2023-12-09,19.1,17,21,0.9,,137,16.5,,1017.5,
2023-12-10,19,9,26,0.2,,118,13.3,,1015.2,
2023-12-11,21.1,17,27,11.4,,126,11.3,,1014.1,
2023-12-12,19.8,17.4,24,0,,137,13.1,,1017.7,
2023-12-13,21.9,17.5,29,0,,110,11.4,,1015.6,
2023-12-14,24.8,19.9,32,0,,97,10.7,,1014.1,
2023-12-15,26.5,21,33,0.3,,118,9.2,,1014.3,
2023-12-16,25.6,22,33,0.4,,109,9.4,,1014.7,
2023-12-17,25.1,21,31,1,,76,10.3,,1013.5,
2023-12-18,24.9,21,33,0.8,,111,11.2,,1011.2,
2023-12-19,23.2,19,30,0,,115,15.1,,1010.8,
2023-12-20,22.3,18,28,0,,121,16.5,,1012.8,
2023-12-21,23.1,19,31,1.3,,125,11.8,,1013.9,
2023-12-22,24.7,20.9,31,7.5,,69,11,,1013.9,
2023-12-23,23.8,19,30,14,,15,9.5,,1013.8,
2023-12-24,24.4,20,30,0.3,,331,10,,1013.6,
2023-12-25,26.8,21.7,33,0,,314,11.3,,1013.5,
2023-12-26,23.3,19,28,1.9,,167,12.2,,1013.9,
2023-12-27,21,18,25,0,,129,14.7,,1017,
2023-12-28,23.2,17,31,0,,113,11,,1015.2,
2023-12-29,26.8,20,33,0,,316,12,,1012.7,
2023-12-30,21.4,19,25.6,1.5,,149,13.3,,1014.8,
2023-12-31,20.4,18,24,0,,118,15.8,,1016.1,